"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
1.91692261218206,0,382.5571776,22.08076213,47.24430424,29.61549432,14.99961307,1.606205767,18470.1799,2.639123533,"herb","Datura"
2.67414864942653,0,571.0281457,16.49603451,55.77562831,22.40364314,10.53484894,1.21733032,16854.19668,3.19639862,"herb","Datura"
2.42657107277504,0,443.8858483,18.17448234,53.58607958,22.70734574,11.59231355,1.343924821,16342.86977,3.211523019,"herb","Datura"
2.00911563924465,0,382.5535714,22.59061177,53.30172414,31.29893444,14.92056286,1.576830308,18153.28736,2.258143997,"herb","Datura"
1.883000776325,1,691.6116505,21.73383123,26.09639303,28.15008765,14.29059474,1.002031507,21051.19356,3.397394946,"herb","Datura"
1.96009478404727,1,375.0538922,16.54966181,42.61828964,24.91281901,8.284613972,1.003254199,18280.92197,2.982117206,"herb","Datura"
2.15064530068617,1,336.7070608,12.5248479,66.96788392,16.11629133,7.370476949,1.090757503,12407.29755,3.642486866,"herb","Datura"
-0.655466113592257,1,303.6200466,14.99271481,64.21964353,19.74706758,11.18952578,1.272679179,15098.50306,4.077917499,"herb","Hyoscyamus"
-2.30258509299405,1,339.0306122,18.44844012,39.78052805,24.3070494,13.01459368,1.27954072,18648.35974,2.912865913,"herb","Hyoscyamus"
-0.64017529579384,0,360,19.15743525,5.55,25.3247348,14.11862145,0.938193069,20020.11667,3.45585832,"herb","Hyoscyamus"
-1.46967597005894,1,354.8611111,20.61828022,7.556074766,27.49237879,14.17567574,1.131531051,19726.90888,2.9226694,"herb","Hyoscyamus"
-0.658552535795446,1,395.725,24.95965713,3.355,31.98120172,17.70619496,0.939051284,21366.105,3.996993208,"herb","Hyoscyamus"
-0.510825623765991,0,235.8384984,8.282910412,60.21405005,11.98781209,3.95205156,0.878045609,11141.94397,3.923190963,"herb","Hyoscyamus"
-0.478035800943,0,327.9565217,10.93942976,21.95341207,18.49185713,5.596936182,0.78526623,17489.38911,2.430961178,"herb","Hyoscyamus"
-0.22314355131421,0,333.3913043,15.50489941,22.98655914,23.32522477,10.86218957,1.109718631,18801.09677,2.766561484,"herb","Hyoscyamus"
-1.95474909772252,1,526.7234043,11.03678561,61.22526042,17.08326766,4.845734539,0.849677238,15768.00911,3.314529795,"herb","Nicotiana"
-2.30258509299405,1,269,7.689296,102.1041667,13.11926575,3.584128776,0.893592775,12633.72917,3.1115528,"herb","Nicotiana"
-2.52572864430826,1,560.75,17.76350075,24.61458333,26.34712675,11.68526515,1.000708905,19517.53125,2.86492715,"herb","Nicotiana"
-2.30258509299405,1,329.5704225,10.66075715,73.56925566,14.22911154,5.834119662,1.054818998,11308.20761,3.635671511,"herb","Nicotiana"
-2.00248050054371,1,347.8275862,10.27353903,35.7326856,17.30512216,2.395026847,0.644461648,16691.87294,3.363340739,"herb","Nicotiana"
-2.97201574693668,1,666.7202073,24.85137659,36.86958874,31.97582289,17.71126362,1.226637128,21889.88907,3.138598485,"herb","Nicotiana"
-1.98050159382493,1,769.3181818,6.065101273,39.07407407,12.29989197,0.639323856,0.535319442,15533.43981,5.098877769,"herb","Nicotiana"
-1.96041483525819,0,701.1967213,20.17824308,25.08782435,26.9300849,13.21288283,0.849738264,21263.65269,3.894601207,"herb","Nicotiana"
-2.64789627828246,1,605.5,18.19089215,101.975,23.152204,13.23013957,1.517022216,17670.36667,3.46428492,"herb","Nicotiana"
-3.16060691674423,1,581.627907,15.55218347,78.92210146,24.34608578,12.51584773,1.696476653,15229.03714,2.385542252,"herb","Nicotiana"
-2.39032400730205,1,733.7034884,17.61166543,23.8879056,23.97856585,11.03998368,1.062328591,18938.78972,4.015794074,"herb","Nicotiana"
-2.54593135162578,1,685.05,20.96205957,27.15476191,27.93692981,13.89899179,0.907068816,21690.11086,3.461392761,"herb","Nicotiana"
-1.21066179247673,0,730.8,7.2178584,19.33333333,14.7457918,-0.31051258,0.430344182,17970.68333,5.08821234,"herb","Nicotiana"
-1.79576749062559,0,744.8671329,16.30496119,41.91157946,20.94897803,11.1617033,1.141501846,17979.54312,4.760405501,"herb","Nicotiana"
-1.16667701958224,1,690.1636364,21.56160961,42.36486486,28.99703095,14.71051619,1.256411208,20387.95721,2.632431343,"herb","Nicotiana"
-3.32423634052603,0,636.9090909,26.01771318,106.4238095,32.47953423,19.12898494,2.089444109,20582.3619,2.362385089,"herb","Nicotiana"
-3.03655426807425,0,349.4215054,18.74568794,24.07565511,27.24216883,11.27548211,0.891896266,19141.75204,3.128178507,"herb","Nicotiana"
-2.29263476214088,0,695.6317016,22.05224547,24.0158046,28.5015661,14.91287828,1.131654903,21053.125,3.683015812,"herb","Nicotiana"
-3.79869432012114,0,469.3106796,21.83678281,150.5780662,27.17476984,17.68734867,2.077289459,16455.38318,2.654419349,"herb","Nicotiana"
-2.17155683058764,0,334.5,15.25581512,52.035461,21.92411898,7.662801133,0.996951904,16931.45745,3.137351768,"herb","Nicotiana"
