"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
0.693147181,0,304.0037736,9.826940662,71.93867925,15.14985847,4.503969307,0.979733147,13450.4445,2.789549982,"herb","Brassica"
1.131402111,1,470.978022,18.10989943,89.8525641,24.54518823,11.67440611,1.446347413,17795.97619,2.141961576,"herb","Brassica"
1.34820301,0,316.9767442,16.80045875,50.47416021,20.45649722,13.14550984,1.290093026,16195.85142,4.106817146,"herb","Brassica"
-0.17888746,0,252.9745763,8.712923859,56.2404661,12.99951103,4.426383308,0.885671507,11460.71363,3.64079584,"herb","Brassica"
-1.255968099,0,462.7283237,15.22461483,49.31743738,20.37581677,10.07317152,1.187512537,16268.5012,3.819127499,"herb","Brassica"
1.574100848,0,298.952381,15.55394145,56.3452381,19.32820752,11.78064826,1.307780562,15300.39683,3.184161905,"herb","Brassica"
1.240285447,0,298.3272727,15.32842544,52.3969697,19.56408471,11.09212883,1.2946487,15677.85606,3.868260153,"herb","Brassica"
1.033184483,1,353.6953552,11.85261725,78.36116803,16.68389032,7.021316638,1.130154573,13567.62278,3.404829606,"herb","Brassica"
1.537297235,0,312,17.554136,40.44444444,20.67767967,14.43107833,1.573594333,16592.52778,4.1363751,"herb","Brassica"
1.193922468,0,246.8513717,9.064077177,69.01817926,13.0523625,5.075766,0.945079344,10960.50628,3.841381476,"herb","Brassica"
-0.223143551,1,277.2143865,11.18405069,65.30752233,15.69376089,6.674287943,1.029763261,12519.54643,3.73191572,"herb","Brassica"
1.047318994,0,288.1419234,10.94376193,67.32395736,15.16585869,6.721568725,1.035716786,12335.52062,3.734251709,"herb","Brassica"
0.335328726,1,366.9541284,16.14570488,51.06116208,21.30519101,10.98655437,1.252979219,17102.01529,3.3118986,"herb","Brassica"
0.989541194,0,329.6,13.017547,93.66111111,17.6524728,8.382252476,1.250081119,13767.40556,2.565534273,"herb","Brassica"
0.711576316,0,268.0114735,8.37853226,71.12187893,12.68948045,4.067609339,0.904996758,11445.11818,3.565735854,"herb","Brassica"
0.317077038,0,294.0984456,11.31151676,55.80073402,16.66610867,5.956961206,0.9294725,15489.05419,3.288655123,"herb","Brassica"
1.947394761,0,308.625,15.90444365,43.47395833,19.81788319,11.99131823,1.354571153,16200.51563,3.654720544,"herb","Brassica"
0.405465108,1,626.1564537,18.25366989,29.70672172,24.74872703,11.75856175,1.051803837,18847.18101,3.673014422,"herb","Brassica"
-0.618203822,0,216.0412441,7.13827335,67.29454023,10.98735831,3.289221787,0.853545217,10138.06582,3.631007872,"herb","Cardamine"
-1.7837913,1,146.0344658,-2.929204754,62.12986214,0.439148167,-6.297603043,0.471271149,8429.083333,4.175276602,"herb","Cardamine"
3.873282177,0,214.0876754,7.3204923,74.10262191,10.98041942,3.660544005,0.856330232,10172.5673,3.752585793,"herb","Cardamine"
0.621865979,1,296.8076256,10.36708376,85.34965338,16.02322698,4.710910502,1.049373244,13656.52744,3.50123535,"herb","Cardamine"
-1.771956842,1,251.6396516,9.358977887,88.03117311,13.19928831,5.518667135,0.981704598,11020.03559,3.934160728,"herb","Cardamine"
-1.64506509,1,828.94,6.08546035,78.92833333,9.89929117,2.271347571,0.692802903,10652.62833,6.335656672,"herb","Cardamine"
1.953027617,0,265.8526316,9.497899114,81.37669173,13.82412903,5.171677447,0.925815072,12946.60125,3.393784929,"herb","Cardamine"
-2.120263536,1,279.4787056,10.48425622,77.01977804,14.71340336,6.255092041,1.011583218,12131.58077,3.820854152,"herb","Cardamine"
-1.944910649,1,251.985302,8.905154178,75.61533494,13.11218942,4.69813067,0.929114853,11614.32757,3.364099118,"herb","Cardamine"
-0.994072108,0,203.8998752,5.942415209,70.19922319,9.6625646,2.222252243,0.813435544,9828.603579,3.980105326,"herb","Cardamine"
-1.465337568,1,218.4477047,8.977756131,70.39473892,12.32509874,5.630352312,0.968116121,9934.652035,4.783018849,"herb","Cochlearia"
0.198850859,0,251.5,9.9435325,48.375,14.20608325,5.6800935,0.949344775,11550.16667,3.17120815,"herb","Cochlearia"
-0.622875128,0,176.9103074,4.431539322,91.42790838,7.320854007,1.542124438,0.760644246,8834.730319,5.267412667,"herb","Cochlearia"
-0.369904933,1,232.2431193,7.54533279,110.6131498,11.17016548,3.920521852,0.859086645,10287.60627,4.375966356,"herb","Cochlearia"
-1.609437912,0,306.814554,15.67889422,51.282277,21.20696018,10.15070927,1.171584451,16565.16002,3.006216778,"herb","Diplotaxis"
-1.609437912,0,293.3476954,13.85998033,50.84777889,19.07963489,8.640286541,1.112998652,15181.72562,3.399954542,"herb","Diplotaxis"
-2.361062023,0,345.5156951,18.67637846,21.25037369,24.57766152,12.77503935,1.23967344,18451.4929,3.401136906,"herb","Diplotaxis"
-1.436325295,1,295.8167504,10.41479669,62.85100503,14.58742853,6.242063508,1.000262078,11966.48054,3.971974234,"herb","Diplotaxis"
-1.203972804,0,313.4835165,16.06088129,46.99084249,21.36002523,10.76176959,1.244828391,16962.76374,3.269162286,"herb","Diplotaxis"
-1.139434283,0,296.5984991,10.26798709,62.16968939,14.43713409,6.098775024,0.985669239,11906.48168,3.880565609,"herb","Diplotaxis"
-0.946749939,1,285.2834951,13.56220667,53.15501618,18.41042509,8.713961554,1.139375374,14384.20696,3.481954821,"herb","Diplotaxis"
-0.798507696,0,286.1333333,8.017813967,41.1504386,15.05117188,0.984397321,0.735135393,15296.89561,4.37358994,"herb","Erysimum"
-0.122676238,0,316.8024565,10.24517772,52.58665984,17.53350389,2.956866078,0.708477946,16948.5122,3.520764498,"herb","Erysimum"
-1.609437912,1,206.4454935,5.588902997,61.27322508,9.655384305,1.522415692,0.795195468,10051.32297,3.50546233,"herb","Erysimum"
0.336472237,0,257.8648363,10.35545097,68.15452306,14.41590882,6.294934866,1.005242622,11612.64009,3.868753253,"herb","Erysimum"
0.523544396,0,317.3333333,12.9285283,21.94444444,19.42367567,6.433749433,0.984772957,16898.72222,3.8570805,"herb","Erysimum"
-1.127011763,0,289.9421965,12.19760763,79.33429672,17.18372674,7.211706201,0.983405739,14929.68015,3.087811647,"herb","Erysimum"
0.135404637,1,301.1428571,11.50426785,91.03571429,16.85150007,6.156597636,0.976907412,15438.2381,3.642703679,"herb","Erysimum"
-1.347073648,1,284.5440181,10.44514039,54.97827314,16.08625518,4.804069704,0.89862588,13795.05418,3.583458023,"herb","Erysimum"
0.838545383,1,258.1245233,9.276766521,68.68098462,13.62801053,4.925523509,0.938242748,11771.84595,3.638158244,"herb","Lepidium"
-0.223143551,1,238.8449304,7.256973709,57.88159929,12.1195103,2.394445337,0.822446983,11776.32817,3.511933684,"herb","Lepidium"
0.415151378,0,287.7185167,10.47867999,60.5288286,14.86253813,6.094776776,0.98314231,12182.09213,3.752323129,"herb","Lepidium"
-2.302585093,1,268.9026332,10.17022796,53.00734844,15.07813747,5.262266728,0.923946762,13146.13824,3.646212388,"herb","Lepidium"
-0.595657559,0,315.4690554,10.58343327,26.49945711,18.82205264,2.344859328,0.588475186,17846.14794,3.406997897,"herb","Lepidium"
-0.105360516,1,285.7682263,9.560632865,46.96236852,15.25578412,3.865507216,0.80336748,13767.92301,3.470742269,"herb","Lepidium"
-1.30933332,1,736.3051471,16.9881868,48.49050245,23.26695,10.70941861,1.118075061,17803.36749,3.177923931,"herb","Lepidium"
-1.239945465,1,230.3949411,8.425828786,62.03698381,12.32635344,4.525249039,0.921006727,10563.8559,3.737412268,"herb","Lepidium"
0.371563556,1,318.8461538,16.62739426,45.89957265,21.02466167,12.23028289,1.241199987,16615.09829,3.670651305,"herb","Lepidium"
