"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z","PC1","PC2","PC3","PC4","PC5","PC6"
-1.417166025,1,255.9402985,4.516675047,109.140625,8.33690105,0.626667018,0.679190575,9.38683508983503,2.917031567,"herb","Achillea",-2.95236124269745,0.248618918665638,-1.59422682072398,-0.960044398572536,0.150588092032797,-0.404140758691383
-1.335601247,1,256,5.35102432,91.40104167,10.04278119,1.798865924,0.733668363,9.35883984635048,2.81232685,"herb","Achillea",-2.42411784637477,0.574968363027834,-1.52815779414967,-0.409397711017849,0.23965752817294,-0.298939216477245
-1.944910649,0,251.8376511,8.508328676,70.16978777,12.56828879,4.049403448,0.871881799,9.40066482830564,3.239773512,"herb","Achillea",-1.54075663097807,0.527796408895394,-0.679525552953639,0.227914092714264,0.0910406240334454,-0.192189996951969
-1.463895609,0,237.2694135,6.73584837,70.49702688,11.10610297,2.385541019,0.827917552,9.32171317704585,3.671803364,"herb","Achillea",-2.30724621713768,0.469238005019887,-0.290761418214958,0.381349591079056,-0.0179147752367032,0.00942527312553451
-1.171182982,0,200.4378236,6.15970245,70.51732364,9.867409999,2.367702392,0.812955251,9.17498560675908,3.7569817,"herb","Achillea",-2.82202626441351,0.374927608823896,-0.357711953315625,0.876654156474579,0.247949634184653,0.0664741318544219
-0.820980552,1,264.1694915,4.032335744,88.43055556,8.910845052,-0.853625905,0.777766526,9.42528630322988,3.377401385,"herb","Aster",-2.81105988231692,0.489726415284201,-0.877164187119347,-0.5436347759009,-0.572664233521017,-0.0861337071723957
-0.15082289,0,250.7312961,8.681317795,68.66273408,13.06343641,4.535619457,0.91324257,9.35809284227369,3.04923294,"herb","Aster",-1.37522571263386,0.511855093540678,-0.954957350684526,0.478952919359994,0.189036824571792,-0.149031789478745
-1.184170177,0,264.4801762,6.514421923,70.94444444,12.03895534,1.288268072,0.822603275,9.46403266179108,3.542407904,"herb","Aster",-1.99396204057739,0.685248621216754,-0.328350680280344,-0.204210321767481,-0.403377186777831,0.0469211164950105
-2.024953356,0,240.4857143,3.209082837,72.07352941,8.317488712,-1.217652902,0.740780124,9.35055489713769,3.893741688,"herb","Aster",-3.200780852774,0.754115643306271,-0.127586942889647,-0.0184908808357749,-0.578815339661404,0.0606494033638077
-2.664990712,1,381.4382022,17.03931945,109.2583333,22.60127904,11.87184608,1.476830648,9.6617699624392,3.107335066,"herb","Aster",1.76779132587083,-2.16475302305888,-0.965684686676269,-0.0163432898959609,0.00902173897420908,0.0400177443615466
-0.891598119,1,246.220104,11.05274065,66.28278186,14.9408181,7.373033064,1.08473898,9.3728437283027,4.310575182,"herb","Aster",-0.950900480538774,-0.577044778567433,0.694036429928883,1.03201740230465,0.0881608404764074,0.032135175530399
0.742413422,0,316.7245763,13.88524005,95.28720238,19.74169697,7.856541452,1.260029301,9.5962969256645,3.31260827,"herb","Bidens",0.506304203017964,-1.17945529010234,-0.678144935763997,-0.09380385817238,-0.188245491293343,0.211219805908302
