Genus,Species_Epither,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source
Datura,quercifolia,7.1,375.0538922,16.54966181,24.91281901,8.284613972,1.003254199,18280.92197,2.982117206,42.61828964,SC,herb,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=7499&Num=1iz,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Datura,stramonium,9.1808,336.7070608,12.5248479,16.11629133,7.370476949,1.090757503,12407.29755,3.642486866,66.96788392,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=7503&Num=E7H,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928751
Datura,wrightii,13.8,351.1082411,15.92770722,23.45242277,9.360221561,0.975023179,17975.37244,3.301904539,34.48264146,SI,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=7505&Num=do6,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928741
Hyoscyamus,albus,0.5192,303.6200466,14.99271481,19.74706758,11.18952578,1.272679179,15098.50306,4.077917499,64.21964353,SC,herb,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=12407&Num=e30,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Hyoscyamus,aureus,0.1,339.0306122,18.44844012,24.3070494,13.01459368,1.27954072,18648.35974,2.912865913,39.78052805,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=12408&Num=0hA,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7602400
Hyoscyamus,boveanus,0.5272,360,19.15743525,25.3247348,14.11862145,0.938193069,20020.11667,3.45585832,5.55,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=12409&Num=78e,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802755
Hyoscyamus,desertorum,0.23,354.8611111,20.61828022,27.49237879,14.17567574,1.131531051,19726.90888,2.9226694,7.556074766,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=12410&Num=CF7,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802705
Hyoscyamus,muticus,0.5176,395.725,24.95965713,31.98120172,17.70619496,0.939051284,21366.105,3.996993208,3.355,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=12411&Num=Tcn,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928977
Hyoscyamus,niger,0.6,235.8384984,8.282910412,11.98781209,3.95205156,0.878045609,11141.94397,3.923190963,60.21405005,SI,herb,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=12412&Num=agV,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Hyoscyamus,pusillus,0.62,327.9565217,10.93942976,18.49185713,5.596936182,0.78526623,17489.38911,2.430961178,21.95341207,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=44457&Num=A2d,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802521
