Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source,ID,tip,an.pe
Bidens,cernua,3.33,235.7656877,7.830539498,12.1939552,3.406767669,0.888931123,11155.57525,3.722461562,64.0629561,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0620,NA,
Bidens,discoidea,1.4,295.2236842,10.44589019,15.74472353,4.676906917,1.057644291,13632.42188,3.436228122,91.24088542,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0626,NA,
Bidens,frondosa,4.9,266.4266589,9.833739514,14.50545253,5.211034713,0.986467827,12267.88956,3.628959164,71.19384442,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0628,NA,
Bidens,laevis,2.139,428.1398176,16.43754054,23.42622321,10.79852363,1.397006103,16419.89789,2.959978546,89.00058685,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0632,NA,
Bidens,odorata,1.24,423.0298103,18.21547677,25.44011264,11.25097055,1.369208822,17720.15852,2.335271502,76.43534483,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0634,NA,
Bidens,pilosa,2,529.4954219,19.89808315,25.20547379,14.57339256,1.735189398,17072.3478,2.76357462,107.7039982,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0636,NA,
Bidens,schimperi,2.1908,584.0740741,21.01782725,27.56011252,14.38524454,1.543287887,18563.10145,2.600561557,67.56884058,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=3368&Num=b3R,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5391827,CO0639,NA,
Bidens,trichosperma,3.33896,287.28,9.111925898,14.90224423,4.068678358,1.013833012,13208.92407,3.717871264,76.37222222,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0641,NA,
Bidens,tripartita,2.3,232.8024967,8.401747411,12.40132869,4.353523636,0.918049442,10811.07066,3.632091525,65.29941176,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0642,NA,
Bidens,vulgata,7.1816,274.5512821,8.024015295,13.74679228,2.569549624,0.912222874,13297.92571,3.923143846,68.91194969,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0643,NA,
