Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,Growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,growthURL,tip,an.pe
Brassica,tournefortii,1.5,626.1564537,18.25366989,24.74872703,11.75856175,1.051803837,18847.18101,3.673014422,29.70672172,SC,herb,Kew_SID,Salisbury et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,amara,0.3384,216.0412441,7.13827335,10.98735831,3.289221787,0.853545217,10138.06582,3.631007872,67.29454023,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,bellidifolia,0.168,146.0344658,-2.929204754,0.439148167,-6.297603043,0.471271149,8429.083333,4.175276602,62.12986214,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,bulbifera,48.1,214.0876754,7.3204923,10.98041942,3.660544005,0.856330232,10172.5673,3.752585793,74.10262191,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,concatenata,1.8624,296.8076256,10.36708376,16.02322698,4.710910502,1.049373244,13656.52744,3.50123535,85.34965338,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,flexuosa,0.17,251.6396516,9.358977887,13.19928831,5.518667135,0.981704598,11020.03559,3.934160728,88.03117311,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,glacialis,0.193,828.94,6.08546035,9.89929117,2.271347571,0.692802903,10652.62833,6.335656672,78.92833333,SC,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=42337&Num=sST,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3045890,NA,NA
Cardamine,heptaphylla,7.05,265.8526316,9.497899114,13.82412903,5.171677447,0.925815072,12946.60125,3.393784929,81.37669173,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,hirsuta,0.12,279.4787056,10.48425622,14.71340336,6.255092041,1.011583218,12131.58077,3.820854152,77.01977804,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,impatiens,0.0916,251.985302,8.905154178,13.11218942,4.69813067,0.929114853,11614.32757,3.364099118,75.61533494,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
