"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
1.46093790411566,1,475.456,24.04148761,140.1008006,28.98581053,20.18055282,2.426151385,18881.12154,2.484290613,"shrub","Cestrum"
1.66483477565439,1,528.7772727,18.46732816,132.3232601,23.99178255,14.10205946,1.715066219,18759.2984,2.717954651,"shrub","Cestrum"
0.466873736236808,1,427.1868132,24.0508961,122.5612094,29.10105947,19.32774139,2.337047312,18083.89602,3.315432723,"tree","Cestrum"
1.52605630349505,0,434.5,22.94588074,112.4898727,28.64113592,17.70163308,2.141595561,18314.89844,2.408527782,"tree","Cestrum"
0.648777232824005,0,501.2649573,16.30202888,113.4128788,21.18117193,10.3950526,1.377078671,16328.84551,2.446375519,"shrub","Cestrum"
1.85604795911042,1,677.795,21.04228066,107.4298878,26.84585441,15.97566512,1.923869017,16818.45733,2.628464255,"shrub","Cestrum"
1.57733132815049,1,421.6428571,24.42796675,133.0342262,29.68401782,20.6023355,2.493789882,18980.09375,3.85408312,"tree","Cestrum"
1.17433799919625,1,476.9566327,22.31506937,150.8890238,27.06472153,17.2214351,2.098909494,17799.32003,2.577368281,"shrub","Cestrum"
-2.99573227355399,1,560.6690647,24.28645791,192.6641414,29.44505067,19.37680064,2.438066786,15553.41414,1.901165668,"tree","Cestrum"
1.247606841346,0,479.4393443,18.46226068,133.3085242,24.4119351,13.62072133,1.728688544,17412.84784,2.118707385,"shrub","Cestrum"
1.91692261218206,0,382.5571776,22.08076213,47.24430424,29.61549432,14.99961307,1.606205767,18470.1799,2.639123533,"herb","Datura"
2.67414864942653,0,571.0281457,16.49603451,55.77562831,22.40364314,10.53484894,1.21733032,16854.19668,3.19639862,"herb","Datura"
2.42657107277504,0,443.8858483,18.17448234,53.58607958,22.70734574,11.59231355,1.343924821,16342.86977,3.211523019,"herb","Datura"
2.00911563924465,0,382.5535714,22.59061177,53.30172414,31.29893444,14.92056286,1.576830308,18153.28736,2.258143997,"herb","Datura"
1.883000776325,1,691.6116505,21.73383123,26.09639303,28.15008765,14.29059474,1.002031507,21051.19356,3.397394946,"herb","Datura"
2.76000994003292,1,471.0254237,21.96923086,117.2091417,25.63229841,16.86181488,1.978083721,16675.35641,2.758288213,"shrub","Datura"
2.60845083587946,1,372.8,18.04730543,62.18098958,24.42755745,10.59217372,1.25268846,17210.45443,2.879859022,"shrub","Datura"
