"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
-1.417166025,1,255.9402985,4.516675047,109.140625,8.33690105,0.626667018,0.679190575,11930.28125,2.917031567,"herb","Achillea"
-1.335601247,1,256,5.35102432,91.40104167,10.04278119,1.798865924,0.733668363,11600.92188,2.81232685,"herb","Achillea"
-1.944910649,0,251.8376511,8.508328676,70.16978777,12.56828879,4.049403448,0.871881799,12096.4201,3.239773512,"herb","Achillea"
-1.463895609,0,237.2694135,6.73584837,70.49702688,11.10610297,2.385541019,0.827917552,11178.11555,3.671803364,"herb","Achillea"
-1.171182982,0,200.4378236,6.15970245,70.51732364,9.867409999,2.367702392,0.812955251,9652.629138,3.7569817,"herb","Achillea"
-0.820980552,1,264.1694915,4.032335744,88.43055556,8.910845052,-0.853625905,0.777766526,12397.94861,3.377401385,"herb","Aster"
-0.15082289,0,250.7312961,8.681317795,68.66273408,13.06343641,4.535619457,0.91324257,11592.25918,3.04923294,"herb","Aster"
-1.184170177,0,264.4801762,6.514421923,70.94444444,12.03895534,1.288268072,0.822603275,12887.75174,3.542407904,"herb","Aster"
-2.024953356,0,240.4857143,3.209082837,72.07352941,8.317488712,-1.217652902,0.740780124,11505.20588,3.893741688,"herb","Aster"
-2.664990712,1,381.4382022,17.03931945,109.2583333,22.60127904,11.87184608,1.476830648,15705.55833,3.107335066,"herb","Aster"
-0.891598119,1,246.220104,11.05274065,66.28278186,14.9408181,7.373033064,1.08473898,11764.52267,4.310575182,"herb","Aster"
0.742413422,0,316.7245763,13.88524005,95.28720238,19.74169697,7.856541452,1.260029301,14710.20759,3.31260827,"herb","Bidens"
0.932164081,1,476.6995448,18.87756106,86.84761905,24.39132376,12.69521691,1.489219385,17290.825,3.038838939,"herb","Bidens"
0.788389176,1,235.7656877,7.830539498,64.0629561,12.1939552,3.406767669,0.888931123,11155.57525,3.722461562,"herb","Bidens"
0.336472237,1,295.2236842,10.44589019,91.24088542,15.74472353,4.676906917,1.057644291,13632.42188,3.436228122,"herb","Bidens"
1.589235205,1,266.4266589,9.833739514,71.19384442,14.50545253,5.211034713,0.986467827,12267.88956,3.628959164,"herb","Bidens"
0.76033843,0,428.1398176,16.43754054,89.00058685,23.42622321,10.79852363,1.397006103,16419.89789,2.959978546,"herb","Bidens"
0.21511138,0,423.0298103,18.21547677,76.43534483,25.44011264,11.25097055,1.369208822,17720.15852,2.335271502,"herb","Bidens"
0.405465108,1,529.4954219,19.89808315,107.7039982,25.20547379,14.57339256,1.735189398,17072.3478,2.76357462,"herb","Bidens"
